"hand" "bid" "type" "card_strengths"
"770" "J6444" 599 4 1005030303
"771" "J7577" 899 4 1006040606
"772" "J999Q" 493 4 1008080811
"773" "JJ28J" 314 4 1010010710
"774" "JQQ6Q" 779 4 1011110511
"775" "JKK6K" 5 4 1012120512
"776" "JKKAK" 561 4 1012121312
"777" "JAAAT" 821 4 1013131309
"778" "Q222T" 157 4 1101010109
"779" "Q222K" 875 4 1101010112
"780" "Q8333" 758 4 1107020202
"781" "Q8838" 752 4 1107070207
"782" "Q88K8" 369 4 1107071207
"783" "Q9AQQ" 809 4 1108131111
"784" "QT777" 995 4 1109060606
"785" "QTAQQ" 718 4 1109131111
"786" "QJAAA" 902 4 1110131313
"787" "QQ2QJ" 72 4 1111011110
"788" "QQ4KQ" 848 4 1111031211
"789" "QQ5QJ" 255 4 1111041110
"790" "QQQA2" 983 4 1111111301
"791" "QQAQ4" 451 4 1111131103
"792" "QAQ8Q" 239 4 1113110711
"793" "K3K9K" 150 4 1202120812
"794" "K4944" 222 4 1203080303
"795" "K4KAK" 408 4 1203121312
"796" "K9K5K" 721 4 1208120412
"797" "KTJKK" 32 4 1209101212
"798" "KKK46" 934 4 1212120305
"799" "KKK98" 460 4 1212120807
"800" "KKAQK" 443 4 1212131112
"801" "A2722" 248 4 1301060101
"802" "A32AA" 549 4 1302011313
"803" "A33J3" 258 4 1302021002
"804" "A4A5A" 207 4 1303130413
"805" "A5552" 882 4 1304040401
"806" "A55J5" 729 4 1304041004
"807" "A6AA2" 845 4 1305131301
"808" "A777Q" 136 4 1306060611
"809" "A8AA2" 651 4 1307131301
"810" "A9299" 437 4 1308010808
"811" "AJ888" 419 4 1310070707
"812" "AJA8A" 529 4 1310130713
"813" "AQJQQ" 61 4 1311101111
"814" "AQA4A" 470 4 1311130313
"815" "AKKK8" 389 4 1312121207
"816" "AKATA" 640 4 1312130913
"817" "AA7AT" 240 4 1313061309
"818" "AAAJ5" 689 4 1313131004
"819" "AAAK6" 362 4 1313131205
"820" "22777" 124 5 101060606
"821" "22828" 140 5 101070107
"822" "23232" 694 5 102010201
"823" "27272" 313 5 106010601
"824" "29992" 804 5 108080801
"825" "2QQ22" 491 5 111110101
"826" "333TT" 593 5 202020909
"827" "333JJ" 406 5 202021010
"828" "33444" 659 5 202030303
"829" "33666" 260 5 202050505
"830" "33993" 609 5 202080802
"831" "33TTT" 915 5 202090909
"832" "33QQQ" 438 5 202111111
"833" "43343" 755 5 302020302
"834" "44222" 445 5 303010101
"835" "44646" 327 5 303050305
"836" "44QQQ" 605 5 303111111
"837" "44KK4" 357 5 303121203
"838" "47774" 299 5 306060603
"839" "49494" 455 5 308030803
"840" "4TTT4" 665 5 309090903
"841" "4J44J" 328 5 310030310
"842" "4JJ4J" 177 5 310100310
"843" "52522" 868 5 401040101
"844" "53353" 956 5 402020402
"845" "55225" 942 5 404010104
"846" "55335" 869 5 404020204
"847" "55454" 547 5 404030403
"848" "555AA" 964 5 404041313
"849" "55JJ5" 815 5 404101004
"850" "55QQQ" 692 5 404111111
"851" "55AAA" 805 5 404131313
"852" "56565" 879 5 405040504
"853" "57755" 42 5 406060404
"854" "58855" 74 5 407070404
"855" "59595" 913 5 408040804
"856" "5TT55" 538 5 409090404
"857" "62226" 762 5 501010105
"858" "666QQ" 994 5 505051111
"859" "66776" 89 5 505060605
"860" "67767" 35 5 506060506
"861" "73377" 54 5 602020606
"862" "74474" 347 5 603030603
"863" "77TT7" 834 5 606090906
"864" "77KKK" 291 5 606121212
"865" "78788" 225 5 607060707
"866" "7Q7Q7" 953 5 611061106
"867" "84484" 25 5 703030703
"868" "86668" 984 5 705050507
"869" "88844" 78 5 707070303
"870" "89889" 780 5 708070708
"871" "8J88J" 742 5 710070710
"872" "8KKK8" 332 5 712121207
"873" "8AA8A" 968 5 713130713
"874" "94499" 864 5 803030808
"875" "96966" 626 5 805080505
"876" "99777" 568 5 808060606
"877" "99933" 252 5 808080202
"878" "999QQ" 943 5 808081111
"879" "99AA9" 826 5 808131308
"880" "9J9J9" 679 5 810081008
"881" "9K99K" 515 5 812080812
"882" "T999T" 878 5 908080809
"883" "TT444" 865 5 909030303
"884" "TTAAA" 921 5 909131313
"885" "TQTQQ" 938 5 911091111
"886" "J22J2" 587 5 1001011001
"887" "J666J" 312 5 1005050510
"888" "JTTJT" 488 5 1009091009
"889" "JJ33J" 396 5 1010020210
"890" "JJ5J5" 565 5 1010041004
"891" "JJ777" 265 5 1010060606
"892" "JKKJJ" 60 5 1012121010
"893" "JAJJA" 681 5 1013101013
"894" "JAAAJ" 188 5 1013131310
"895" "Q444Q" 598 5 1103030311
"896" "Q555Q" 787 5 1104040411
"897" "Q88QQ" 353 5 1107071111
"898" "QQQJJ" 688 5 1111111010
"899" "K2K22" 125 5 1201120101
"900" "K55KK" 499 5 1204041212
"901" "KTTKT" 372 5 1209091209
"902" "KJKJK" 186 5 1210121012
"903" "KK3K3" 513 5 1212021202
"904" "KK4K4" 229 5 1212031203
"905" "KK6K6" 170 5 1212051205
"906" "KK99K" 930 5 1212080812
"907" "KKK22" 554 5 1212120101
"908" "KKAAK" 900 5 1212131312
"909" "A2AA2" 131 5 1301131301
"910" "A666A" 759 5 1305050513
"911" "ATTTA" 851 5 1309090913
"912" "AKKAA" 737 5 1312121313
"913" "AA77A" 649 5 1313060613
"914" "AAQQQ" 436 5 1313111111
"915" "AAA66" 643 5 1313130505
"916" "AAAQQ" 933 5 1313131111
"917" "22229" 317 6 101010108
"918" "2222T" 751 6 101010109
"919" "22J22" 121 6 101100101
"920" "33233" 373 6 202010202
"921" "33334" 440 6 202020203
"922" "33335" 962 6 202020204
"923" "33393" 178 6 202020802
"924" "33833" 775 6 202070202
"925" "37333" 745 6 206020202
"926" "42444" 788 6 301030303
"927" "44434" 37 6 303030203
"928" "44445" 919 6 303030304
"929" "44474" 539 6 303030603
"930" "444K4" 432 6 303031203
"931" "4AAAA" 952 6 313131313
"932" "55559" 220 6 404040408
"933" "55585" 754 6 404040704
"934" "555J5" 418 6 404041004
"935" "55Q55" 866 6 404110404
"936" "5KKKK" 56 6 412121212
"937" "65555" 585 6 504040404
"938" "66656" 123 6 505050405
"939" "66663" 616 6 505050502
"940" "66667" 887 6 505050506
"941" "66668" 901 6 505050507
"942" "666A6" 190 6 505051305
"943" "66J66" 33 6 505100505
"944" "75555" 639 6 604040404
"945" "77757" 73 6 606060406
"946" "77772" 427 6 606060601
"947" "77774" 668 6 606060603
"948" "777J7" 669 6 606061006
"949" "77T77" 464 6 606090606
"950" "79777" 861 6 608060606
"951" "82888" 888 6 701070707
"952" "88884" 212 6 707070703
"953" "88886" 696 6 707070705
"954" "88887" 777 6 707070706
"955" "88J88" 194 6 707100707
"956" "88A88" 210 6 707130707
"957" "89888" 822 6 708070707
"958" "99599" 295 6 808040808
"959" "99979" 394 6 808080608
"960" "99993" 223 6 808080802
"961" "9999A" 20 6 808080813
"962" "99J99" 444 6 808100808
"963" "99K99" 269 6 808120808
"964" "9T999" 642 6 809080808
"965" "T3333" 62 6 902020202
"966" "T8888" 713 6 907070707
"967" "TT3TT" 546 6 909020909
"968" "TT7TT" 282 6 909060909
"969" "TTTT2" 490 6 909090901
"970" "TTTT4" 489 6 909090903
"971" "TTTT5" 441 6 909090904
"972" "TTTJT" 122 6 909091009
"973" "TTATT" 908 6 909130909
"974" "TQQQQ" 724 6 911111111
"975" "TAAAA" 686 6 913131313
"976" "J3333" 990 6 1002020202
"977" "J4444" 534 6 1003030303
"978" "JJ8JJ" 330 6 1010071010
"979" "Q8888" 496 6 1107070707
"980" "QQ7QQ" 740 6 1111061111
"981" "QQ9QQ" 501 6 1111081111
"982" "QQJQQ" 503 6 1111101111
"983" "QQAQQ" 120 6 1111131111
"984" "K4KKK" 638 6 1203121212
"985" "K6666" 174 6 1205050505
"986" "K7777" 543 6 1206060606
"987" "KQQQQ" 793 6 1211111111
"988" "KK8KK" 514 6 1212071212
"989" "KKJKK" 375 6 1212101212
"990" "KKK7K" 402 6 1212120612
"991" "KKKTK" 673 6 1212120912
"992" "KKKAK" 620 6 1212121312
"993" "KAAAA" 92 6 1213131313
"994" "A3333" 736 6 1302020202
"995" "A5555" 119 6 1304040404
"996" "AA2AA" 413 6 1313011313
"997" "AA8AA" 556 6 1313071313
"998" "AAAJA" 841 6 1313131013
"999" "AAAAQ" 400 6 1313131311
"1000" "JJJJJ" 86 7 1010101010
